trip_id,route_num,date,stop_0,time_at_stop_0,time_from_stop_0_to_stop_1,stop_1,time_at_stop_1,time_from_stop_1_to_stop_2,stop_2,time_at_stop_2,time_from_stop_2_to_stop_3,stop_3,time_at_stop_3,time_from_stop_3_to_stop_4,stop_4,time_at_stop_4,,,2.610784314,3.065686275,2.025,3.285416667
190309,19,6/28/22,2375,12,147,2670,28,208,2674,64,164,2676,40,233,2376,12,,,,,,
190309,19,6/29/22,2375,40,148,2670,44,232,2674,44,152,2676,44,217,2376,8,,,,,,
190309,19,6/30/22,2375,16,155,2670,20,240,2674,56,148,2676,140,210,2376,40,,,,,,
190309,19,7/1/22,2375,16,149,2670,40,212,2674,40,116,2676,44,247,2376,12,,,,,,
190110,19,6/21/22,2375,12,135,2670,52,192,2674,24,160,2676,20,224,2376,8,,,,,,
190110,19,6/22/22,2375,8,148,2670,22,515,2676,20,242,2376,8,,,,,,,,,
190110,19,6/23/22,2375,12,123,2670,16,172,2674,40,132,2676,32,209,2376,12,,,,,,
190110,19,6/24/22,2375,12,135,2670,20,184,2674,164,132,2676,40,208,2376,28,,,,,,
190110,19,6/27/22,2375,13,148,2670,48,184,2674,52,111,2676,12,225,2376,9,,,,,,
190110,19,6/29/22,2375,16,146,2670,17,210,2674,64,150,2676,49,225,2376,31,,,,,,
190110,19,6/30/22,2375,9,155,2670,18,163,2674,209,130,2676,21,251,2376,76,,,,,,
190110,19,7/1/22,2375,12,144,2670,36,188,2674,136,132,2676,36,232,2376,8,,,,,,
190310,19,6/21/22,2375,12,135,2670,52,172,2674,24,144,2676,32,230,2376,32,,,,,,
190310,19,6/22/22,2375,12,171,2670,16,232,2674,24,136,2676,36,222,2376,28,,,,,,
190310,19,6/23/22,2375,60,157,2670,44,240,2674,44,156,2676,60,210,2376,8,,,,,,
190310,19,6/24/22,2375,16,138,2670,16,224,2674,36,128,2676,40,250,2376,12,,,,,,
190310,19,6/27/22,2375,36,149,2670,40,196,2674,40,164,2676,48,252,2376,12,,,,,,
190310,19,6/28/22,2375,12,139,2670,44,200,2674,60,116,2676,16,226,2376,12,,,,,,
190310,19,6/29/22,2375,12,142,2670,36,192,2674,44,160,2676,16,287,2376,36,,,,,,
190310,19,6/30/22,2375,16,148,2670,20,188,2674,88,120,2676,36,204,2376,12,,,,,,
190310,19,7/1/22,2375,16,160,2670,24,232,2674,28,128,2676,56,200,2376,36,,,,,,
180403,19,6/21/22,2375,12,150,2670,20,216,2674,59,184,2676,11,219,2376,8,,,,,,
180403,19,6/22/22,2375,148,144,2670,16,156,2674,148,132,2676,32,252,2376,28,,,,,,
180403,19,6/23/22,2375,16,135,2670,20,176,2674,24,156,2676,16,213,2376,12,,,,,,
180403,19,6/24/22,2375,12,139,2670,20,220,2674,20,128,2676,24,207,2376,64,,,,,,
180403,19,6/27/22,2375,12,147,2670,44,220,2674,80,156,2676,16,260,2376,52,,,,,,
180403,19,6/28/22,2375,12,145,2670,16,240,2674,24,124,2676,48,204,2376,28,,,,,,
180403,19,6/29/22,2375,12,148,2670,48,180,2674,56,156,2676,36,251,2376,44,,,,,,
180403,19,6/30/22,2375,12,151,2670,40,220,2674,60,160,2676,40,233,2376,40,,,,,,
180403,19,7/1/22,2375,12,122,2670,16,180,2674,28,108,2676,24,232,2376,28,,,,,,
190211,19,6/21/22,2375,12,177,2670,20,212,2674,40,120,2676,44,196,2376,28,,,,,,
190211,19,6/22/22,2375,44,142,2670,40,224,2674,36,124,2676,36,196,2376,28,,,,,,
190211,19,6/23/22,2375,12,150,2670,16,236,2674,28,172,2676,108,248,2376,32,,,,,,
190211,19,6/24/22,2375,32,140,2670,56,236,2674,28,168,2676,28,193,2376,4,,,,,,
190211,19,6/27/22,2375,12,182,2670,40,200,2674,52,128,2676,40,208,2376,32,,,,,,
190211,19,6/28/22,2375,8,193,2670,40,180,2674,40,148,2676,44,200,2376,36,,,,,,
190211,19,6/29/22,2375,12,130,2670,40,160,2674,24,124,2676,44,276,2376,28,,,,,,
190211,19,6/30/22,2375,12,197,2670,52,200,2674,48,164,2676,36,212,2376,8,,,,,,
190211,19,7/1/22,2375,12,193,2670,16,236,2674,28,152,2676,40,216,2376,28,,,,,,
190212,19,6/21/22,2375,12,156,2670,36,200,2674,20,136,2676,16,220,2376,8,,,,,,
190212,19,6/22/22,2375,12,179,2670,20,184,2674,48,144,2676,20,264,2376,8,,,,,,
190212,19,6/23/22,2375,16,153,2670,68,208,2674,44,132,2676,12,249,2376,8,,,,,,
190212,19,6/24/22,2375,28,131,2670,40,184,2674,40,116,2676,36,199,2376,16,,,,,,
190212,19,6/27/22,2375,16,146,2670,48,200,2674,40,128,2676,12,179,2376,8,,,,,,
190212,19,6/28/22,2375,12,191,2670,20,196,2674,24,128,2676,16,268,2376,8,,,,,,
190212,19,6/29/22,2375,16,159,2670,32,160,2674,60,132,2676,16,187,2376,12,,,,,,
190212,19,6/30/22,2375,12,155,2670,44,224,2674,56,152,2676,12,236,2376,12,,,,,,
190212,19,7/1/22,2375,16,192,2670,64,188,2674,76,132,2676,16,224,2376,16,,,,,,
190213,19,6/21/22,2375,12,157,2670,32,180,2674,20,116,2676,12,200,2376,8,,,,,,
190213,19,6/22/22,2375,16,173,2670,52,216,2674,20,120,2676,16,212,2376,32,,,,,,
190213,19,6/23/22,2375,12,152,2670,20,220,2674,20,128,2676,12,224,2376,12,,,,,,
190213,19,6/24/22,2375,36,164,2670,64,196,2674,36,116,2676,32,181,2376,36,,,,,,
190213,19,6/27/22,2375,28,149,2670,16,200,2674,32,132,2676,12,204,2376,8,,,,,,
190213,19,6/28/22,2375,12,159,2670,20,296,2674,24,124,2676,12,224,2376,8,,,,,,
190213,19,6/29/22,2375,12,131,2670,16,208,2674,20,112,2676,12,163,2376,8,,,,,,
190213,19,6/30/22,2375,32,164,2670,32,204,2674,20,188,2676,12,204,2376,8,,,,,,
190213,19,7/1/22,2375,16,164,2670,20,220,2674,164,132,2676,16,236,2376,8,,,,,,
190215,19,6/21/22,2674,44,148,2676,16,208,2376,8,,,,,,,,,,,,
190215,19,6/22/22,2375,20,149,2670,20,164,2674,36,128,2676,12,200,2376,8,,,,,,
190215,19,6/23/22,2375,12,151,2670,20,188,2674,44,120,2676,16,204,2376,8,,,,,,
190215,19,6/24/22,2375,16,162,2670,16,192,2674,16,112,2676,16,203,2376,8,,,,,,
190215,19,6/27/22,2375,44,133,2670,16,147,2674,16,104,2676,8,160,2376,8,,,,,,
190215,19,6/28/22,2375,16,158,2670,20,188,2674,40,124,2676,12,204,2376,12,,,,,,
